GAS7,6.7479,6.6272,6.7563,6.1814,6.8413
TRAPPC6A,2.6913,2.9496,2.6373,2.7080,2.9781
MATK,4.0219,4.1844,4.1383,3.7100,1.6835
CEACAM7,0.0000,0.1058,0.0339,0.0000,0.0000
CD79B,0.2642,0.2138,0.0937,0.0520,0.2251
SCN4A,0.0000,0.0000,0.0110,0.0243,0.1710
ST7L,1.1449,1.1768,1.1176,1.1625,1.5121
TKTL1,0.0348,0.0721,0.0231,0.1094,0.0168
PAX6,0.6524,0.8531,0.8652,1.7470,4.0905
RPUSD1,2.3620,2.4582,2.3903,2.2359,2.8759
RHBDF1,0.5383,0.4118,0.6919,0.9108,0.6384
LUC7L,2.6898,2.5713,2.5648,2.5892,3.0793
CACNA2D2,2.0761,1.9695,2.0024,2.4811,4.3585
BAIAP3,3.4236,3.2992,3.8934,4.8878,1.4958
C16orf42,4.3801,4.1601,4.3570,4.5297,4.5927
PIGQ,2.0120,1.8425,2.3082,2.3080,2.3796
CRAMP1L,1.7020,1.6526,1.8941,1.9600,3.3540
TEAD3,0.0415,0.1676,0.5053,0.4466,0.4871
SELE,0.1447,0.1235,0.1361,0.0445,0.1529
DNAJC11,3.4563,3.4632,3.5055,3.4294,3.4824
FMO3,0.0363,0.1486,0.1642,0.3416,0.1518
MYLIP,3.1617,3.1998,3.2052,3.1120,2.3173
NOX1,0.3613,0.1956,0.0786,0.2929,0.2649
E2F2,0.0000,0.0000,0.0158,0.0000,0.0000
PSMB1,4.8241,5.1917,4.9545,4.9179,5.0258
SYN1,7.3563,7.3612,7.4659,7.1922,6.8273
JARID2,2.0027,1.7820,1.8430,1.9372,3.3429
CDKL5,3.8405,3.9057,4.0200,3.2780,1.8763
CAMK1G,4.5415,4.6147,4.6307,4.1986,1.2023
NADK,1.9390,1.9773,2.2242,2.3620,2.3606
TFAP2B,0.0000,0.0000,0.0000,0.0000,1.9707
TFAP2D,0.0000,0.0000,0.0000,1.8749,0.0000
DLEC1,1.1679,1.1279,1.1945,1.3899,1.0624
CYTH3,3.3920,3.3451,3.4100,3.0122,3.5998
ADAM22,4.3953,4.3020,4.0752,4.1475,5.3441
SYPL1,4.0508,4.0174,3.6334,4.3549,3.3661
CYB561,3.6365,3.5431,3.7492,3.5090,2.2371
SPAG9,4.5767,4.5026,4.4172,4.6135,4.3813
CELSR3,1.5962,1.5522,1.9155,1.8050,3.1958
AASS,0.9508,0.9753,0.9487,1.4213,0.5681
PLEKHG6,0.0300,0.0000,0.0000,0.0000,0.0000
SS18L2,3.8917,3.9994,3.6805,3.7117,3.7639
MPND,3.4553,3.3459,3.6287,3.3783,3.0307
MGST1,1.5516,2.0331,1.9445,3.1685,1.4371
CRY1,2.2096,2.4181,2.1279,2.2696,3.5331
PGLYRP1,0.1301,0.0000,0.1068,0.0000,0.3590
NFIX,5.0996,4.8134,4.8023,4.7165,6.5544
ST3GAL1,1.9815,1.9762,2.0772,2.5519,1.9090
MMP25,0.1776,0.2663,0.2534,0.1017,0.5712
IL32,0.1254,0.1321,0.2920,0.2933,0.5407
PKD1,2.4279,2.0857,2.6726,2.4594,4.6191
MAPK8IP2,5.6759,5.4999,5.7903,5.6882,6.2719
MED24,3.8308,3.8861,4.1070,4.0480,4.1444
RHOBTB2,4.8791,4.8279,5.0417,4.3688,2.4426
HEATR5B,3.3421,3.1274,3.1667,3.2331,3.0869
SEC62,5.4091,5.4038,5.2378,5.3871,5.1628
RPS20,4.7267,5.0835,4.8234,4.7843,4.4815
CSDE1,6.4832,6.4223,6.2955,6.4071,6.4212
UBE3C,3.5503,3.5867,3.4883,3.3623,3.6623
REV3L,1.6820,1.7080,1.7581,1.9779,3.0470
ODZ1,1.6744,1.5162,1.6994,1.9195,4.0050
PAX7,0.9748,0.8907,0.8475,0.4177,0.0000
MASP2,0.7597,0.8455,0.7778,0.5419,2.2581
IYD,0.0000,0.0000,0.0000,0.0000,0.0000
FAM76A,2.0575,1.9924,2.0036,1.8834,2.2984
TRAF3IP3,0.4406,0.3745,0.2974,0.3669,0.5807
POMT2,1.2340,1.2389,1.2506,1.6728,1.5415
VTA1,4.7642,4.9653,4.7997,4.3811,4.3187
MLXIPL,1.2813,1.1613,1.5604,1.0130,2.6786
BAZ1B,3.7057,3.3961,3.4575,3.6910,4.1567
RANBP9,5.0316,5.1950,4.9354,4.5132,3.9191
ETV7,0.0535,0.2136,0.1332,0.1880,0.0743
C1orf124,1.1431,1.4849,1.2398,1.3063,1.2438
METTL13,3.2327,3.2072,3.1626,3.1159,3.5788
DYRK4,1.5054,1.4775,1.3344,1.2660,1.4011
ZNF207,3.0291,3.0955,3.0870,2.8860,3.2561
UQCRC1,5.3846,5.4687,5.3959,5.2594,5.7251
STARD3NL,3.5254,3.6561,3.5061,3.5146,3.0392
CD9,4.9144,4.8295,4.5641,5.4032,4.1891
HHATL,2.8027,2.8282,2.8205,3.7931,3.1966
NCAPD2,1.9711,1.6327,1.8143,2.3781,2.0384
IFFO1,2.3415,2.2080,2.3362,2.1087,3.1619
GIPR,0.2349,0.1116,0.2726,0.5249,0.2193
PHF7,1.7615,1.6568,1.8336,1.4449,1.6302
SEMA3G,1.6531,1.5892,1.8615,1.3639,2.3698
NISCH,4.4561,4.3533,4.7392,4.7259,5.0923
STAB1,0.7399,0.8136,1.2002,1.0171,1.4593
FUZ,2.7665,2.5005,2.8088,3.0923,3.1982
SLC6A13,0.9751,0.9806,1.0429,0.8531,1.2919
IDS,7.8460,8.1997,8.0478,7.7466,6.2203
PRSS3,3.8450,4.2613,4.2123,3.7511,5.4316
ZNF200,1.4804,1.2684,1.3267,1.4761,1.8757
CD4,1.7402,1.4714,1.7392,1.6537,2.2656
LRRC23,2.0507,2.0768,2.0322,2.1106,2.3233
BTK,0.4852,0.3662,0.2604,0.3434,0.4140
HFE,0.1515,0.3792,0.3264,0.4821,0.3478
SCMH1,2.9037,2.9908,3.0815,2.5505,2.6631
FYN,4.2346,4.2654,4.3276,4.6932,4.2867
HIVEP2,5.2685,5.2259,5.0875,4.4867,4.1948
FMO1,0.0849,0.1311,0.0919,0.0493,0.0359
TCEB3,2.8491,2.9570,2.8497,2.9411,3.2569
LYPLA2,2.0396,1.8759,2.2980,2.4071,2.2825
CLCN6,3.8732,3.6096,3.7943,3.8839,3.4202
MRC2,0.8931,0.7025,0.9541,1.1909,1.2182
NME1-NME2,6.5999,6.7486,6.5708,6.0924,6.2857
SLC6A7,4.4681,4.3290,4.6200,4.0673,3.9643
TSPAN9,1.9903,1.8984,1.6740,1.5567,5.5879
BTBD7,1.3321,1.2381,1.3176,1.5739,1.6655
APBA3,0.7840,0.6849,1.0671,1.3203,2.2820
MKS1,1.4726,1.4912,1.4944,1.5621,1.7356
ABHD5,1.7324,1.8684,1.7324,1.9072,2.2241
KAL1,1.6294,1.8543,1.7949,3.1773,1.0990
