ZNF195,2.2784,2.0538,1.9394,1.8704,2.1798,2.3211,2.4298,1.9361
MYCBP2,2.2723,2.6449,2.7244,2.6980,2.3624,2.4263,2.4730,2.8004
FBXL3,3.3747,3.1167,3.2506,3.2468,3.5324,3.3085,3.3731,3.2039
ITGAL,0.3358,0.4429,0.4800,0.3158,0.3022,0.3585,0.2695,0.6548
PDK2,3.9819,4.2169,4.3649,4.3819,4.1344,3.9674,4.0000,4.2272
ITGA3,2.1822,2.5983,2.8413,2.7694,2.3626,2.0792,2.2500,2.4289
ZFX,1.9597,1.8980,1.9591,1.9040,2.1237,1.8235,1.8252,1.7906
LAMP2,3.5086,3.4735,3.6061,3.8464,3.7482,3.3917,3.2280,3.4947
GGNBP2,2.5774,2.5910,2.5942,2.6488,2.6232,2.5192,2.5137,2.5348
ITGA2B,0.3615,0.2127,0.3605,0.2420,0.4211,0.4382,0.3761,0.4546
ASB4,0.1817,0.1521,0.1343,0.2303,0.1392,0.0593,0.2002,0.1532
GDE1,5.3352,5.1598,4.9983,5.2311,5.4397,5.3423,5.3299,4.5763
C19orf60,5.3400,5.2618,4.8719,4.7045,4.9238,5.0618,5.0861,4.2207
CRLF1,2.2849,2.0983,2.7447,2.0916,2.3001,2.2040,2.3589,2.2494
OSBPL7,1.8576,2.0905,2.1428,2.2333,1.8636,2.0855,1.9216,2.0355
TMEM98,4.1912,3.9402,3.7753,3.4965,3.9913,4.0900,4.1553,4.4132
YBX2,0.2094,0.8950,0.6057,0.9719,0.3846,0.7446,0.3616,0.4575
KRT33A,0.0000,0.0000,0.0690,0.0724,0.0000,0.1094,0.1054,0.0000
MAP3K14,1.2400,1.4038,1.4762,1.4156,1.4627,1.1529,1.3736,1.6292
ABCC8,1.7849,2.0475,2.0139,1.7684,1.7135,2.0745,2.2242,1.6861
CCL18,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909
CCL3,0.4995,0.1348,0.1189,0.0628,0.1428,0.1747,0.2580,0.0000
CACNG3,4.0801,4.4665,3.8215,3.9744,3.3368,3.8527,4.4618,3.6704
TMEM132A,4.5520,4.9609,5.3374,5.1564,4.6548,4.3616,4.3104,4.6093
AP2B1,5.6935,5.8928,5.8605,5.9453,5.7392,5.6337,5.7247,5.6914
TAC1,3.3077,2.8155,1.4838,1.3236,2.0100,3.1089,3.5710,0.9665
ZNF263,2.6692,2.6943,2.6697,2.7748,2.6504,2.5994,2.6341,2.8218
CX3CL1,5.7624,6.1366,5.9384,5.9890,5.5517,5.5407,5.8279,5.9323
SPATA20,3.1955,3.3348,3.3618,3.2343,3.3253,3.2585,3.4373,3.0813
CACNA1G,2.2284,2.7148,2.6784,2.4236,2.0319,2.3007,2.4640,2.0003
TNFRSF12A,2.0180,1.9370,1.8103,1.6071,2.5188,1.9897,1.4095,2.9424
DLX6,0.8624,0.8358,0.8031,0.6042,0.5592,0.8039,0.9107,0.4855
MAP3K9,0.4459,0.6066,0.5462,0.5930,0.4399,0.5575,0.4780,0.5404
RALA,4.6815,4.4788,4.2735,4.2552,4.5126,4.6181,4.6885,4.2464
BAIAP2L1,0.4807,0.5203,0.4709,0.4573,0.7599,0.4766,0.2496,0.4684
JHDM1D,1.7754,1.7004,1.8616,1.9041,1.8839,1.7633,1.5507,2.1930
ETV1,3.3616,3.2995,3.5401,3.3008,3.5021,3.3213,3.4737,3.2237
AGK,2.2973,2.4621,2.4726,2.3937,2.1822,2.3463,2.3370,2.1388
ALDH3B1,0.5284,0.6019,0.6356,0.7825,0.6139,0.5643,0.5560,1.0307
TTC22,0.0797,0.1010,0.1033,0.0468,0.0898,0.1867,0.1337,0.1366
PHTF2,1.5857,1.5334,1.3667,1.4442,1.7929,1.8329,1.8834,1.3396
CCL26,0.3656,0.1416,0.1250,0.0000,0.0000,0.2408,0.1843,0.0000
FARP2,1.6897,1.8151,1.8555,1.8296,1.7608,1.9823,1.8046,1.8839
USH1C,0.3895,0.4643,0.2089,1.1412,0.4449,0.9204,0.2596,0.3669
GGCT,3.4311,3.2911,3.1724,3.0612,3.4263,3.2498,3.3177,2.4699
DBF4,0.8183,0.7620,0.5149,0.7821,1.0167,0.9439,0.9286,0.7042
TBXA2R,1.3519,1.1610,1.1431,1.2346,0.8564,1.0223,1.0640,1.3410
IFRD1,2.2675,1.9586,1.9511,1.9674,2.2751,2.3385,2.4744,1.8285
LGALS14,0.0886,0.0000,0.0000,0.0858,0.1906,0.1607,0.1246,0.0000
COX10,2.2505,2.1428,2.1130,2.2635,2.1552,2.2422,2.1649,2.1250
GTF2IRD1,1.4596,1.7512,1.8338,1.6684,1.5644,1.4839,1.5081,1.9410
PAF1,4.3671,4.6676,4.6693,4.5210,4.4434,4.2065,4.2875,4.7031
VPS41,3.8040,3.7696,3.6332,3.7442,3.7715,3.7002,3.8033,3.4186
ELAC2,2.7933,3.2518,3.1875,3.1612,2.9488,2.6073,2.6352,3.0814
SCIN,0.0941,0.1186,0.0882,0.0000,0.0857,0.0711,0.0000,0.4557
ARSD,2.2598,2.2443,2.5138,2.4999,2.1559,1.8898,1.8558,2.2366
PNPLA4,2.4996,2.3355,2.2850,2.4690,2.5077,2.5538,2.5802,2.3959
MYH13,0.0000,0.0000,0.0000,0.0000,0.0353,0.0000,0.0199,0.0199
ADIPOR2,3.5793,3.7335,3.7906,4.1343,3.9837,3.4171,3.4401,4.3253
CDKL3,2.7652,2.8340,2.5321,2.6329,2.7373,2.5605,2.6996,2.4955
UPP2,1.1827,1.0484,0.9419,0.8191,0.8335,1.1429,1.4244,0.6251
PRSS21,0.0825,0.0875,0.1171,0.0000,0.0000,0.0000,0.0639,0.0000
MARK4,3.5338,3.8504,3.8431,3.6716,3.3665,3.5855,3.7757,3.7248
PROM1,2.7195,2.6442,2.6303,2.6586,2.8833,2.5679,2.3956,3.1601
CCDC124,5.6402,5.7279,5.7417,5.4402,5.2445,5.4965,5.4152,5.3507
CEACAM21,0.4665,0.3329,0.1375,0.3175,0.2418,0.2667,0.2550,0.1987
PAFAH1B1,5.0051,4.9939,5.0645,5.1534,5.0687,5.0778,5.2489,4.9270
NOS2,1.1421,1.2221,1.0331,0.8706,0.8954,0.8510,0.7778,0.8003
DNAH9,0.1696,0.1465,0.2118,0.1965,0.1512,0.1506,0.1420,2.0218
