TNFRSF12A,0.6547,0.0000,1.0643,0.8209,0.6043,0.9379,1.6344
DLX6,0.4774,0.9030,1.2108,0.6369,3.0401,0.0000,0.0000
MAP3K9,0.3208,0.7067,0.3995,0.6111,0.5543,1.5891,1.2773
RALA,3.6098,4.3901,4.2378,4.2150,4.4523,4.3193,4.1261
BAIAP2L1,0.1418,0.0899,0.1850,0.4417,0.3873,0.3622,0.3163
JHDM1D,0.5024,0.9234,0.7314,0.5776,0.7387,1.1879,1.5394
ETV1,1.5267,2.2945,2.6024,2.6973,2.2771,3.4535,5.5998
AGK,1.9179,2.1873,2.3312,2.3078,2.4242,2.6255,3.0374
ALDH3B1,0.1762,0.2258,0.3044,0.4245,0.3265,0.4402,0.2668
TTC22,0.0998,0.0222,0.1492,0.1721,0.5442,0.0126,0.0107
PHTF2,1.1514,1.7231,2.1663,1.5603,1.4035,1.5938,1.5868
CCL26,0.0000,0.3363,0.5086,0.1245,0.2264,0.1027,0.1603
FARP2,1.0123,0.9833,0.9877,1.5568,1.7063,1.8724,2.3356
USH1C,1.2641,0.4461,1.2995,1.4570,1.3531,0.6479,0.5288
GGCT,3.5869,4.4004,4.2702,3.6776,3.4682,4.1144,3.4707
DBF4,0.3120,0.5553,0.8938,0.5690,0.8845,0.5283,0.5453
TBXA2R,0.5114,0.3245,0.5470,0.6990,0.5364,0.6108,0.4285
IFRD1,2.0188,2.3216,2.8606,2.4547,2.9468,2.3695,2.4877
LGALS14,0.2936,0.1195,0.0765,0.0000,0.0779,0.0679,0.0000
COX10,1.7464,1.7339,1.6739,1.8322,1.8342,2.2394,2.2544
GTF2IRD1,0.8065,0.8497,0.7976,1.0303,1.2173,1.8735,1.1417
PAF1,3.8745,4.1739,3.9219,4.3389,4.4930,4.5550,4.7979
VPS41,3.1212,3.5943,3.6366,3.6142,3.3022,4.0178,3.2923
ELAC2,2.2859,2.3498,2.4219,2.8279,2.6979,2.9006,2.9905
SCIN,0.1170,0.0779,0.2502,0.2343,0.5592,0.3229,0.1569
ARSD,0.7190,0.7497,1.0122,1.0544,1.2532,1.3900,1.6723
PNPLA4,2.1424,2.2545,2.7088,2.5118,3.0161,2.7202,2.8843
MYH13,0.0142,0.0000,0.0128,0.0146,0.0140,0.0000,0.0103
ADIPOR2,2.4241,2.8278,2.6778,3.1067,3.6836,3.5799,3.0014
CDKL3,2.3396,3.0439,2.9345,2.5480,3.3024,3.8930,3.6824
UPP2,0.9003,1.1688,1.5175,1.1404,0.7285,1.0220,0.8676
PRSS21,0.0000,0.0000,0.0000,0.0000,0.0724,0.0000,0.0000
MARK4,3.3929,2.7097,3.1269,3.7668,4.1359,3.9813,3.3478
