PLXND1,4.2118,3.9030,3.8046,3.8934,4.0629,4.1187,3.9009,3.8769,4.1187,3.9768,3.9866,2.2489,3.1589,2.5803,1.8893,1.7810
AK2,1.5747,1.6735,1.8593,2.0907,1.4569,1.5682,1.5526,1.5784,1.7404,1.8238,1.5428,2.2455,1.9839,1.9329,2.0861,2.4692
CD38,0.3005,0.1800,0.7746,0.3018,0.1293,0.2777,0.0485,0.1205,0.2920,0.0624,0.3449,0.8513,0.7487,1.3037,1.5727,0.0837
FKBP4,4.4653,4.5041,4.6416,4.6256,4.3588,4.6234,4.5943,4.6008,4.6092,4.6352,4.6079,4.8344,4.7099,4.7142,5.1430,5.8754
RBM6,2.9177,2.9016,2.8726,2.9206,2.7067,2.7876,3.0068,2.8500,2.8863,3.0851,3.0280,2.8867,2.9467,2.8173,2.7910,3.3590
CAMKK1,4.7061,4.5644,4.2681,4.4943,4.6877,5.0176,4.7582,4.8384,4.7218,4.6282,5.0692,4.2576,4.5647,4.5376,3.1913,3.5712
RECQL,1.7629,2.3111,2.0998,2.0684,1.7660,2.0677,2.2736,1.8572,2.1103,1.9987,2.2729,2.4060,2.1804,2.2699,2.1618,3.0491
CCDC132,3.0598,3.3334,3.0317,3.0102,2.8156,3.0377,3.4400,3.0807,3.1947,3.2338,3.2337,3.2785,3.0553,3.0021,2.9652,3.0237
HSPB6,2.2560,2.2407,2.0961,2.8088,2.1997,2.5819,2.2961,2.0333,2.3030,2.2998,2.5602,2.4666,2.7375,2.7943,2.3352,1.1604
NDUFAB1,5.7697,5.5596,5.5374,6.0926,5.4322,5.6293,5.8116,5.6748,5.5696,5.7047,5.5805,5.7646,5.7385,5.8570,6.1909,5.6268
PDK4,0.8884,1.4055,1.8695,1.6966,1.1920,1.3090,0.9828,0.9034,1.4861,1.1745,1.2720,3.1010,2.4343,2.1667,1.8951,1.0811
SLC22A16,0.0458,0.0377,0.0009,0.0589,0.0859,0.0310,0.0000,0.0173,0.0450,0.0165,0.0000,0.0472,0.0155,0.0000,0.0192,0.0000
ZMYND10,1.2060,1.0803,1.2285,1.1120,1.1104,0.7083,0.9400,0.8037,0.9174,1.0362,0.8801,2.1669,2.0897,1.2290,1.1332,0.2862
ABCB5,0.0127,0.0000,0.0118,0.0062,0.0799,0.0000,0.0134,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0057
ARX,2.5513,2.4741,2.5463,2.8521,2.3040,2.5032,2.3147,2.5652,2.3079,2.2916,2.2889,1.7216,2.3081,2.3365,0.0983,0.0184
SLC25A13,1.1492,1.4509,1.6409,1.5692,1.2685,1.3195,1.3411,1.4406,1.4204,1.2891,1.3389,2.4252,1.7059,1.7238,2.4377,2.8861
ST7,1.9588,1.7938,1.9688,1.9848,1.5639,1.8335,1.9830,1.8656,1.9398,1.9946,1.8925,1.9140,1.8968,1.6665,1.5655,2.7927
CDC27,3.2957,3.6031,3.3258,3.1133,3.0996,3.3721,3.6413,3.4735,3.5003,3.5408,3.5305,3.4800,3.3352,3.2336,3.5752,3.0420
SLC4A1,0.0109,0.0546,0.0372,0.0319,0.0906,0.0222,0.0234,0.0117,0.0327,0.0363,0.0000,0.0228,0.0178,0.0335,0.0272,0.0198
CALCR,0.1641,0.1250,0.1281,0.1393,0.2084,0.1480,0.1321,0.0634,0.0971,0.2095,0.0309,0.1832,0.1252,0.1654,0.0177,0.0000
HCCS,3.3359,3.4378,3.1743,3.2871,3.1748,3.4331,3.8016,3.4766,3.4943,3.4535,3.6574,3.3582,3.2696,3.0535,3.1553,3.3333
DVL2,2.0469,1.9289,2.2014,2.4026,2.0694,2.1087,1.9290,1.8036,2.1606,2.1799,1.9119,2.1524,2.2512,2.1929,1.9737,2.8650
PRSS22,0.0000,0.0000,0.0000,0.0401,0.0000,0.0000,0.0436,0.0000,0.0000,0.0464,0.0000,0.0426,0.0000,0.0988,0.1947,3.2756
UPF1,3.7916,3.8451,4.0275,3.9225,3.7292,3.8365,3.6368,3.6993,3.8478,3.8331,3.8526,3.8999,4.0955,3.9672,3.8571,4.9987
SKAP2,2.9230,3.1454,2.6913,2.6940,2.7002,2.8790,3.1897,2.9726,2.8746,3.0914,2.7834,2.3452,2.6916,1.1826,2.3402,0.6931
SLC25A5,6.2816,6.1393,6.0077,6.5695,5.9964,6.3250,6.4064,6.2456,6.0899,6.2003,6.5285,6.5102,6.2966,6.6943,6.9833,6.9605
CCDC109B,1.4690,1.5746,1.7516,1.6914,1.3104,1.2299,1.6451,1.4513,1.4122,1.7759,1.0546,1.4847,1.5714,1.2384,1.8389,0.5600
HOXA11,0.0000,0.0000,0.0000,0.0000,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
POLR2J,3.1141,3.1222,3.1580,3.4897,2.9609,3.0865,2.9784,3.0094,2.9725,3.2743,2.9931,3.5366,3.7177,3.8356,3.5413,3.6000
DHX33,2.7648,2.7470,2.7694,2.6570,2.5471,2.8880,2.7047,2.8437,2.8375,2.7553,2.9803,2.6147,2.6620,2.5401,2.5605,2.7776
MEOX1,0.0000,0.0000,0.0000,0.0000,0.0233,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0432,0.0000,0.0260,0.0000,0.0195
THSD7A,2.6895,2.5100,2.3166,2.6605,2.3370,2.8959,2.8994,2.6661,3.1232,3.1084,3.2575,2.1440,2.0264,2.7174,2.8281,1.7702
LIG3,1.8317,1.9651,1.8245,1.9618,1.7565,1.9585,1.8684,1.7545,1.7326,1.9150,1.7782,1.8046,1.7860,1.9034,1.7354,2.3996
RPAP3,2.6656,2.8834,2.7060,2.5800,2.3930,2.6932,3.0320,2.7865,2.8960,2.9588,2.7248,2.8983,2.5018,2.7223,3.0120,3.1756
ACSM3,0.1368,0.2080,0.3225,0.2132,0.3199,0.1619,0.2109,0.1837,0.1639,0.1865,0.3164,0.3840,0.2432,0.2950,0.2736,0.2065
AC004381.2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
CIAPIN1,4.1566,4.0143,3.9177,4.2056,3.8214,4.0916,4.2382,4.1223,3.9356,4.1286,4.0451,3.9472,3.9744,3.8618,4.3872,4.3538
AC004410.1,2.7466,2.4945,2.5300,2.6815,2.5894,2.2954,2.2239,2.4625,2.3578,2.4831,2.5122,2.5687,2.8238,2.6891,2.6318,3.3780
KIAA1539,2.2161,2.0412,2.1381,2.2623,1.9576,1.8748,1.9616,1.9207,1.9343,1.9761,1.6376,2.1751,2.3130,2.2485,2.7936,1.6179
COPZ2,1.2311,1.4099,1.5801,1.5819,1.2394,1.1297,1.0038,0.9731,1.2254,1.1106,1.4736,2.0942,1.6525,1.7162,1.8431,1.8918
PRKAR2B,4.9576,5.0764,4.7184,4.7993,4.5945,4.9336,5.1826,5.1316,5.0367,5.1797,5.1776,4.8504,4.7903,5.4144,4.4372,3.0594
MSL3,2.4361,2.3698,2.3877,2.5178,2.1721,2.3571,2.5385,2.5741,2.4533,2.5879,2.5116,2.2258,2.3667,2.0785,2.1397,2.1286
CREBBP,3.4764,3.3979,3.4951,3.3685,3.3953,3.6654,3.3637,3.5045,3.6464,3.4288,3.5535,3.1708,3.2849,3.2389,3.1082,4.2792
BZRAP1,4.9963,4.7978,4.7835,4.9977,4.6754,4.8139,4.6400,5.0372,4.9877,5.0892,4.3559,4.2917,5.1456,4.3112,3.7545,3.4303
MPO,0.4788,0.3870,0.3962,0.4160,0.3200,0.2465,0.5496,0.5122,0.3558,0.5229,0.2919,0.4901,0.4012,0.3245,0.4671,0.5943
PON1,0.0195,0.0579,0.0592,0.0560,0.0775,0.0195,0.0199,0.0000,0.1292,0.0643,0.0210,0.1278,0.1847,0.1305,0.1590,0.1670
C2orf3,1.5677,1.6651,1.6210,1.5653,1.3436,1.5363,1.7678,1.6540,1.6440,1.7329,1.7235,1.6696,1.4902,1.4766,1.7141,1.7975
WDR54,3.1577,2.8842,2.9093,3.0034,2.7998,2.9068,2.9784,2.9008,2.9392,2.8855,2.8402,2.8179,3.1403,2.7491,2.8911,2.3348
CROT,1.5646,1.6911,1.3536,1.4215,1.3409,1.2851,1.7223,1.4537,1.6521,1.7558,1.2512,1.7080,1.6740,1.5928,1.6303,1.8892
ABCB4,0.2007,0.2178,0.2124,0.1582,0.2356,0.1498,0.1421,0.1470,0.2346,0.1196,0.1226,0.2121,0.1979,0.1143,0.2415,0.1903
MLL5,3.5098,3.5786,3.4911,3.4143,3.2890,3.6084,3.5573,3.5983,3.5815,3.4866,3.7764,3.3088,3.3313,3.3199,3.1530,4.1716
RHBDD2,7.0703,6.8190,6.8721,7.0116,6.7861,6.9030,6.8909,6.8529,6.8888,6.9279,6.5838,6.8080,7.1731,7.2341,6.8698,5.5282
SOX8,3.7757,4.2025,4.5564,4.8305,4.0174,3.9402,3.5832,3.6549,4.0729,3.8742,3.5186,4.3845,4.7889,5.2322,3.9450,2.8754
IBTK,2.3871,2.7116,2.5650,2.4209,2.2540,2.6135,2.7573,2.7248,2.7460,2.6700,2.7773,2.5928,2.4713,2.6792,2.5802,3.3087
ZNF195,1.5882,1.6591,1.6067,1.6409,1.3075,1.5493,1.8904,1.7112,1.7187,1.7664,1.7749,1.7718,1.6252,1.7996,2.0563,1.6885
MYCBP2,5.0104,5.1150,4.8601,4.6612,4.7932,5.0908,5.0097,5.0191,5.2425,5.1132,5.0938,4.5415,4.6927,4.2120,4.4517,4.3509
FBXL3,3.6301,3.7678,3.7572,3.7293,3.3113,3.7634,3.9469,3.7654,3.7065,3.7750,3.8872,3.6853,3.5059,3.2863,3.5238,4.2650
ITGAL,0.4974,0.5436,0.4219,0.5671,0.3971,0.3677,0.3510,0.5252,0.4639,0.4522,0.2925,0.5515,0.4657,0.2875,0.2573,0.7843
PDK2,4.2182,3.9241,3.9852,4.1467,4.0557,4.0497,3.9790,3.8778,3.9532,3.9995,3.7878,3.8185,4.2449,4.0879,3.9392,5.1193
ITGA3,2.3908,2.1586,2.3962,2.3062,2.2360,2.1953,2.0937,2.0841,2.1010,2.3198,2.1585,2.1298,2.2435,2.1516,2.7661,2.7859
ZFX,2.0104,1.9582,2.0312,2.0029,1.7526,2.0142,2.0734,2.0535,1.9673,1.9866,2.1975,2.0491,1.9668,2.0762,1.9406,2.6248
LAMP2,3.5322,4.3114,4.8627,4.5404,3.6270,4.0136,4.0411,3.8058,4.1544,4.2379,4.0044,5.0513,4.5511,4.3516,4.1926,3.9413
GGNBP2,2.7780,2.8268,2.7917,2.7417,2.4803,2.7280,2.9308,2.8093,2.8736,2.8807,2.8072,2.8281,2.8784,2.7693,3.2061,3.0055
ITGA2B,0.1689,0.0583,0.0718,0.2066,0.1949,0.1207,0.1316,0.1619,0.1183,0.1840,0.1959,0.0779,0.0969,0.0554,0.1346,0.6841
ASB4,0.0252,0.0627,0.0390,0.0609,0.1316,0.0507,0.0240,0.0698,0.1667,0.0831,0.0538,0.1858,0.1809,0.1202,0.2070,0.0342
GDE1,5.1586,5.2291,5.0877,5.3444,4.8533,5.1705,5.2843,5.1748,5.1466,5.1441,5.2086,5.4001,5.2225,5.1791,5.4339,4.9605
C19orf60,4.8922,4.5090,4.5518,5.1887,4.6426,4.7039,4.2209,4.5850,4.4701,4.6169,4.5067,4.5846,4.9045,4.5414,4.3760,5.0185
CRLF1,1.3643,1.4382,1.6438,1.5624,1.3131,1.2825,1.0329,0.9933,1.4486,1.4083,1.7470,1.9050,2.2222,2.8853,0.4474,0.6620
OSBPL7,1.8697,1.8293,1.7943,1.9285,1.7535,1.6808,1.6949,1.7055,1.6420,1.9414,1.7325,1.6913,1.7304,1.5062,1.7813,1.7557
TMEM98,1.9404,2.7054,3.5297,3.5250,2.4283,2.5165,2.1055,2.1693,2.5734,2.6289,2.4293,4.4944,3.7057,3.3554,2.9645,3.4995
YBX2,0.4148,0.2584,0.4557,0.3352,0.7523,0.4867,0.6228,0.3862,0.3986,0.4313,0.5246,0.1151,0.1118,0.0870,0.6271,0.0608
KRT33A,0.0443,0.0450,0.0000,0.0000,0.1558,0.0000,0.0000,0.0000,0.0445,0.0373,0.0000,0.0000,0.0445,0.0000,0.0000,0.0303
MAP3K14,1.9021,1.8253,1.5918,1.6701,1.7941,2.1198,1.7603,2.0375,1.8215,1.7250,2.1497,1.4501,1.5651,2.2398,1.7648,2.2308
ABCC8,2.4148,2.0940,2.0889,2.2177,2.1733,2.1230,2.1239,2.0972,2.1281,2.1992,2.2526,2.0263,2.1654,1.7127,1.4882,3.1668
CCL18,0.0438,0.2071,0.0444,0.0426,0.1815,0.1283,0.0912,0.0000,0.0428,0.0487,0.0000,0.0000,0.0000,0.0000,0.0000,0.0396
CCL3,0.2850,0.2190,0.1926,0.3376,0.1601,0.2542,0.1581,0.0856,0.0761,0.3135,0.4024,0.2256,0.1851,0.2986,0.2263,0.1987
CACNG3,6.3183,6.1354,5.6151,6.0374,5.9728,6.0111,6.3836,5.9709,6.1281,6.1710,5.8324,4.7095,5.5271,5.5910,2.6571,1.2876
TMEM132A,5.0483,4.8257,4.7502,5.0392,4.8820,4.9430,4.6502,4.7164,4.7872,4.7898,4.7667,3.9636,4.6576,4.2255,4.5131,4.9760
AP2B1,6.8647,6.7789,6.6767,6.7088,6.4973,6.7263,6.8918,6.7444,6.8303,6.8660,6.6443,6.6725,6.7137,6.3257,6.6564,6.4203
TAC1,3.8382,3.7836,3.8572,4.1861,3.6852,3.7158,4.1460,3.8546,3.6572,4.1085,3.9935,4.6955,4.1727,6.9144,1.2012,1.1329
ZNF263,2.9873,3.0792,2.8728,2.8986,2.8933,3.0142,2.9984,2.9658,2.9599,3.0450,3.0139,2.9576,2.9582,3.0646,2.7745,3.2341
CX3CL1,7.7329,7.4591,6.9342,7.5764,7.5048,7.6817,7.6481,7.5160,7.4189,7.5220,7.7956,6.4197,6.8239,7.7165,6.2716,3.8573
SPATA20,2.6928,2.5545,2.7002,2.5895,2.5759,2.4528,2.3068,2.3891,2.3199,2.4093,2.3420,2.7039,2.6901,2.2716,3.9478,3.5255
CACNA1G,4.0625,3.8167,3.1591,3.8363,3.9345,4.0334,3.8427,3.8575,3.7160,3.7285,4.0092,2.8759,2.7420,2.1044,4.9845,5.6548
TNFRSF12A,0.2597,0.6267,0.6658,0.9151,0.8508,0.5523,0.5058,0.3455,0.3477,0.3854,0.6963,1.0074,0.4387,0.7179,0.8319,0.8868
DLX6,0.9711,0.6279,0.8106,0.7962,0.6295,0.7679,0.8591,0.6973,0.7390,0.7068,0.8881,0.8737,0.6939,3.4809,0.1024,0.0000
MAP3K9,3.1829,3.2711,3.1659,2.7945,3.1980,3.2631,2.9220,3.2576,3.1644,2.9477,3.1492,3.0114,2.7511,2.1433,3.9518,2.9951
RALA,4.3789,4.5612,4.3228,4.4342,3.9961,4.4558,4.6915,4.5712,4.5947,4.6956,4.5614,4.4549,4.3165,4.2290,4.2166,4.0933
BAIAP2L1,0.3777,0.2158,0.2819,0.3306,0.3782,0.1624,0.2768,0.2082,0.4522,0.2902,0.1822,0.5632,0.2961,0.2625,0.4905,0.5116
JHDM1D,2.2353,2.2845,2.1885,2.0579,2.0120,2.5092,2.4522,2.5138,2.4880,2.3735,2.8608,2.1423,1.9078,1.7299,2.1321,2.7930
ETV1,2.9989,3.3325,3.1371,2.8633,2.8399,3.2090,3.1216,3.5045,3.1954,3.3993,2.9995,3.6999,3.2437,3.2514,3.4532,6.2783
AGK,2.7127,2.6267,2.5543,2.6600,2.5488,2.7269,2.8853,2.6933,2.6481,2.7240,2.8035,2.7107,2.6344,2.5789,2.6482,2.9005
ALDH3B1,0.1907,0.2044,0.2420,0.3567,0.2000,0.2876,0.1764,0.1709,0.2505,0.2775,0.1101,0.6135,0.5320,0.4153,0.2518,0.2418
TTC22,0.2329,0.1738,0.1688,0.1694,0.1716,0.1044,0.2283,0.1645,0.1551,0.1829,0.1202,0.3166,0.2419,0.8291,0.0357,0.0088
PHTF2,2.0466,2.2544,2.0499,2.1846,1.8092,2.0794,2.4444,2.1463,2.1258,2.3816,2.4230,2.0809,1.9845,1.7245,1.6046,2.1920
CCL26,0.2281,0.2996,0.0115,0.2119,0.2462,0.1589,0.0000,0.2539,0.0000,0.0897,0.0866,0.2362,0.0811,0.1877,0.0000,0.2090
FARP2,1.6038,1.6111,1.7560,1.6099,1.5746,1.5614,1.5554,1.6850,1.5629,1.5363,1.5302,1.6779,1.7932,2.0310,2.1117,2.4960
USH1C,0.2358,0.5456,0.5564,0.5283,0.5431,0.7410,0.4531,0.4619,0.5498,0.4100,0.6531,1.0822,1.0017,0.4402,0.2305,0.3724
